word,category,meanHappiness,meanAnger,meanSadness,meanFear,meanDisgust
monstrum,U,1.5185186,2.3333333,2.4074075,4.148148,3.3703704
wznosić,U,4.5185184,1.3703704,1.2962962,2.074074,1.037037
rozum,U,5,1.7407408,1.5925926,1.5925926,1.1851852
ustalać,U,2.8148148,1.7777778,1.3703704,2,1.1481482
przeciwnik,U,2.1111112,4.0740743,2.1111112,4.148148,1.962963
lustrować,U,1.6666666,3.074074,2.074074,2.9629629,2.3703704
subtelny,U,4.3333335,1.1481482,1.1481482,1.1481482,1.1111112
globus,U,3.2222223,1.1481482,1.074074,1.4444444,1.037037
przestępstwo,U,1.2222222,4.851852,4.6296296,5.5185184,4.185185
pomijać,U,1.3333334,3.2962964,2.7777777,3,1.962963
maska,U,2.1111112,2.4444444,2.0370371,2.7407408,1.962963
brak,U,1.2592592,4.111111,4.703704,4.3703704,1.962963
szczyt,U,5.4444447,1.5185186,1.4074074,2.8148148,1.1111112
niemowlę,U,5.037037,1.5925926,1.1481482,3.2222223,1.2962962
wynosić,U,2.3333333,2.5185184,2,2.2222223,1.5925926
bieda,U,1.074074,4.6296296,5.740741,5.6666665,2.7037036
harfa,U,4.2222223,1.1481482,1.6296296,1.074074,1.074074
deficyt,U,1.2222222,3.2592592,3.7037036,3.7407408,2.5185184
sweter,U,3.5925925,1.2962962,1.074074,1.037037,1.074074
hodowla,U,2.4814816,1.6296296,1.7777778,1.7407408,1.6296296
opieka,U,4.962963,1.6666666,1.925926,2.1851852,1.2592592
nieskończony,U,3.074074,2.148148,2.074074,3.4074075,1.2962962
ściana,U,2.0370371,2.1111112,1.7407408,1.8148148,1.3333334
przykładać,U,3.2592592,1.3703704,1.3703704,1.4444444,1.3333334
makler,U,2.5185184,2.1111112,1.5925926,2.3703704,1.6666666
rozwód,U,1.2592592,4.7777777,5.296296,4.6666665,3.1111112
wskazówka,U,4.3333335,1.6666666,1.074074,1.5555556,1.1111112
warga,U,3.2592592,1.4814814,1.2962962,1.1481482,1.3333334
kapitan,U,3.5925925,1.5925926,1.4814814,1.7407408,1.1851852
pułapka,U,1.1111112,4,3.3333333,4.9259257,2.8888888
odległość,U,2.4444444,2.6666667,3.3333333,3.1851852,1.7777778
zamawiać,U,4.037037,1.3333334,1.074074,1.5185186,1.037037
witamina,U,4.4814816,1.1851852,1.1111112,1.074074,1.074074
maszkara,U,1.3703704,2.4074075,3,3.2222223,3.925926
narażać,U,1.4074074,3.925926,3.2592592,4.4814816,2.4814816
