word,meanAnger
bezbronn,3.4814816
krzyk,4.4074073
elast,1.4074074
tragizm,3.5925925
brakow,4.296296
morderstwo,4.8703704
pudel,1.2222222
podł,4.888889
stó,1.3703704
trw,1.6666666
lewitow,1.1111112
cierp,3.8148148
zwiększ,1.5555556
resztk,2.6666667
zadłuż,4.3703704
dom,1.962963
dowód,1.5925926
budd,1.6296296
chron,1.5925926
lip,2.4814816
samoobron,3.148148
mys,2
zas,3.7777777
dziedziczyć,1.962963
purpur,2.1851852
amerykanin,1.8888888
kar,4.0740743
utonąć,2.851852
tenor,1.3333334
alkohol,2.8888888
pożyczk,3.5555556
trucizn,4.259259
wytworn,1.7037038
pielęgnow,1.5185186
skak,1.4814814
dzi,1.5925926
rol,1.7407408
chl,3.2962964
sojusz,1.4074074
telefon,2.5925925
mech,1.3333334
wariat,2.074074
czyt,1.3333334
egzystencjaln,1.7777778
wyjś,1.6666666
nieudacznik,3.6296296
adwent,1.8148148
wahadło,1.8076923
równowag,1.6923077
martw,2.8461537
wilczur,2.4230769
śn,1.7692307
orzech,1.1538461
przewidyw,1.7307693
skarżyć,4.5
obrac,1.9615384
tatr,1.3076923
zdyscyplinowan,2.1538463
duchown,2.4615386
