word,meanAnger
Japonia,1.6666666
rozsądny,1.5185186
ożywiony,1.7407408
motorower,1.7407408
liczba,1.7777778
kufer,1.3333334
koniak,1.8148148
podejmować,1.7777778
świnia,2.1851852
bezwartościowy,3
buk,1.5185186
grać,2.0370371
odwaga,1.8518518
drań,4.5925927
świerk,1.5555556
mur,2.5925925
rząd,3.5185184
wino,1.8888888
bóbr,1.2962962
ogień,2.3703704
opinia,2.2592592
surowy,3.9629629
zatwierdzać,1.5925926
czarnuch,3.7777777
spojrzenie,2
nazywać,1.5555556
spadek,2.2592592
brat,2.4814816
incydent,2.7777777
sankcjonować,3.1111112
kicz,2.925926
kura,1.4074074
dawka,2.1111112
honor,1.6666666
marzyć,1.3703704
katastrofa,3.5925925
zamieszki,4.037037
kochanek,2.8148148
wyrok,3.2222223
witalny,1.3333334
mówca,1.8518518
symfonia,1.4444444
kanał,1.6666666
niełaska,3.1851852
brytyjski,1.5185186
saksofon,1.7777778
pragnąć,2
soczewka,1.4814814
zaniedbany,3.4074075
aleja,1.3703704
liberalny,2.1851852
wykazywać,1.7407408
malarz,1.5555556
ciśnienie,2.2592592
brąz,1.7777778
rodzinny,1.925926
zwłoki,1.925926
kaktus,1.8518518
makaron,1.2222222
planowy,1.5555556
ufny,1.5555556
cela,2.925926
nerwica,4.111111
plakat,2.074074
wiśniowy,1.1851852
środowisko,1.7037038
serowy,1.3703704
mistyczny,1.4444444
oset,2.1111112
dziewczyna,1.6296296
zatrudniać,2.0370371
robić,1.8888888
koza,1.4444444
hipoteczny,2.2592592
pielgrzymować,1.1851852
oszust,5.5925927
miłostka,1.925926
załatwiać,1.925926
młotek,2.2222223
cygaro,2.074074
wpadka,3.6296296
kochanka,3.7037036
droga,1.7777778
dzierżawić,1.962963
miejsce,1.5555556
rama,1.4814814
udowadniać,2.3703704
otwierać,1.3703704
awersja,3.2962964
czeremcha,1.3703704
kręgiel,1.3333334
zaginiony,3.5185184
artystyczny,1.925926
nadmorski,1.3703704
konopie,2
okaleczony,3.4444444
krzepki,1.4074074
spodnie,1.5925926
świadek,1.925926
przedwczesny,3.2592592
żagiel,1.2962962
uzupełniać,1.4444444
kosz,1.6666666
miecz,2.4444444
dowodzić,1.6666666
premiera,1.2962962
przekazywać,1.5555556
rasa,2.1851852
jasność,1.6296296
źrebię,1.2222222
wąwóz,1.4444444
kosmetyczny,1.4444444
produkować,1.5555556
gnębić,5.3703704
szkoła,2.8148148
maskować,2.6666667
wełniany,1.5555556
schodzić,1.7037038
chwalić,1.8888888
okrężny,2.6666667
bąk,1.7777778
fartuch,1.6296296
bronić,2.4444444
spójny,1.2592592
wgnieciony,3.2592592
przepych,2.2222223
obłędny,1.7407408
sandał,1.3703704
strzelać,3.6296296
litość,2.8148148
dochód,1.8888888
zatrzymywać,2.8148148
małpa,1.3703704
komizm,1.7407408
rezygnacja,3.7037036
uzasadniać,2.0370371
zbankrutować,4.851852
unikać,3.3703704
kołysać,1.4814814
czepek,1.7407408
przepadać,2.3333333
fuzja,1.7407408
stołówka,1.3703704
rezygnować,3.5555556
bura,2.5185184
wanna,1.2592592
bezsilny,4.888889
pieniądze,1.8888888
ćwiczyć,1.962963
kasa,2.1111112
twarz,1.6296296
ojczyzna,1.7777778
życzenie,1.1851852
jamnik,1.8888888
łapać,2.1111112
nałóg,4.111111
pozwalać,1.5925926
nienawidzić,5.037037
tablica,2.0370371
podniecający,1.4444444
oko,1.3333334
ocean,1.4074074
akrobatyczny,1.4074074
asceza,1.962963
orchidea,1.5185186
potwierdzić,1.4074074
armata,2.2222223
żyrafa,1.2592592
biec,1.925926
minister,3
autonomiczny,1.8518518
dyspozycyjny,1.962963
żeglować,1.4444444
murzynka,1.6666666
przewodnik,1.5925926
mistrz,1.5555556
poroże,1.8148148
chichotać,1.962963
sprawdzony,1.4444444
sałatka,1.5185186
pomocny,1.2962962
bitwa,3.5925925
nastrojowy,1.4074074
błagalny,2.6666667
wykształcony,1.7777778
klinika,1.962963
bawić,1.7037038
przekonać,1.8148148
pojętny,1.5925926
usuwać,2.851852
urlop,1.3703704
atomowy,2.4444444
odetchnąć,1.8148148
szuja,4.703704
wół,1.5555556
toster,1.2962962
mglisty,2
obniżać,2.6666667
zły,4.5925927
czuć,2.1111112
oczekiwanie,2.4074075
krewny,2.5555556
szminkować,1.5925926
odwiedzać,1.6296296
odejście,3.6666667
wzrost,1.3076923
korowód,1.7692307
napad,4
biżuteria,1.5384616
świadectwo,1.5
kompas,1.3461539
początek,1.5384616
tchórzliwy,3.7692308
wspólnota,1.5769231
rekrut,1.5769231
zamężny,1.5769231
kolor,1.2307693
przymusowy,4.6538463
bierki,1.8076923
zaproszenie,1.3461539
kula,2
udaremniać,2.4615386
cenny,1.1923077
celebrować,1.5
udawać,3.3846154
wiek,1.9230769
zabójca,3.8461537
ochota,1.2692307
makabryczny,2.6538463
oszczędny,2.0769231
wrażenie,1.6923077
interesujący,1.5
wnioskować,1.4230769
wielbiciel,1.8846154
portal,1.5769231
tolerancyjny,1.8846154
szkodliwy,3.0384614
tendencyjny,2.9615386
dygotać,2.4615386
flirt,2.0384614
kaseta,1.2307693
bieżnia,1.8461539
skrzypce,1.6923077
zachłanny,3.6923077
planeta,1.4230769
bić,4.6538463
fala,1.6153846
stosunek,1.5
podnosić,1.6153846
litania,2.3461537
sytuowany,2.0769231
horda,2.7692308
wiolonczela,1.4615384
świecić,1.5769231
pozbawiać,4
upadek,3.5384614
źródło,1.2692307
pan,1.7692307
narodowy,1.9615384
mefisto,2.1923077
dekadencki,2.2307692
apetyt,1.7692307
syty,1.7692307
ścinać,2.9615386
nadzieja,1.6923077
wchodzić,1.3846154
pytać,1.8846154
podróż,1.5
zawartość,1.5384616
sprzedawać,1.7692307
problem,3.0384614
łódź,1.1538461
spożywać,1.4615384
wrzawa,2.8846154
szatan,2.9230769
koncert,1.4230769
wypowiedzenie,3.7692308
pokrzepienie,1.4230769
pożyczać,2.3461537
ludzki,1.4615384
obejmować,1.2692307
lśnić,1.3076923
błazen,2.5
zachęta,1.5769231
haniebny,3.6538463
zmarszczka,2.8076923
ład,1.3461539
uczestniczyć,1.4615384
blondynka,1.5769231
śpiew,1.5384616
bezcelowy,3.7307692
kurort,1.3076923
wyjątkowy,1.5384616
codzienny,1.6923077
motłoch,4.1153846
wampir,1.7692307
przyjezdny,1.7307693
niezdrowy,2.9615386
stylowy,1.5769231
mniejszy,1.9615384
dziewica,1.6153846
pożywienie,1.3076923
edukować,1.4615384
wywóz,1.9615384
uprzywilejowany,2.4230769
kuszący,1.5
opium,1.8461539
podeszwa,1.6153846
troskliwy,1.6538461
nieskazitelny,1.5
pobyt,1.2307693
sabotować,3.8846154
niewdzięczny,4.576923
plantacja,1.3076923
pasieka,1.1153846
zorza,1.1153846
los,1.9615384
daremny,4
łgać,4.576923
owca,1.2307693
twierdza,1.1923077
romans,2.6538463
lód,1.6153846
masa,2.1153846
grozić,4.6538463
kot,1.6538461
noc,1.3461539
zapominać,3.9615386
stado,1.4615384
urodziny,1.5769231
chwast,2.8461537
wilkołak,2.1923077
trawa,1.2307693
skutkować,1.7692307
piwo,1.3076923
zagazować,4.1538463
ambicja,2
uprawa,1.2692307
aktywność,1.4230769
wrażliwy,1.4615384
prowadzenie,1.5384616
czarny,1.8846154
dzielić,1.8076923
torfowisko,1.6153846
umierać,3.2692308
plotkarski,4.1153846
budować,1.3076923
trend,2.6153846
euforyczny,1.3461539
córka,1.3846154
znalezisko,1.3076923
wypadać,2.9615386
powstanie,2.1923077
nawiązywać,1.2692307
światło,1.4615384
rozkładać,1.6538461
zdenerwowany,3.9230769
spasować,2.8076923
bukiet,1.4615384
szmata,4.3846154
czarować,1.6538461
usługiwać,3.3461537
ideowy,2.1538463
pracować,2
pić,1.9230769
minigolf,1.6153846
skreślać,3.2692308
klon,1.5769231
niewymuszony,1.4230769
skąpy,3.6153846
uderzenie,4.3076925
skarb,1.2692307
świętokradztwo,3.4230769
wieczorny,1.5384616
udowodnić,2.5769231
rausz,2.2307692
zwyczaj,1.7692307
chomik,1.2692307
odmowa,4.423077
zmurszały,1.7307693
hala,1.1923077
muszla,1.2692307
regularny,1.5
patelnia,1.8846154
rozumieć,1.6153846
zazdrość,5.0384617
taryfa,1.9615384
rabat,1.4615384
granat,3.0384614
gwiazda,1.5384616
uniżony,2.6923077
wysoki,1.7307693
czarodziej,1.1481482
tempo,1.925926
nieufność,3.4814816
niezamężny,1.7407408
statek,1.3333334
towarzysz,1.5185186
monstrum,2.3333333
wznosić,1.3703704
rozum,1.7407408
ustalać,1.7777778
przeciwnik,4.0740743
lustrować,3.074074
subtelny,1.1481482
globus,1.1481482
przestępstwo,4.851852
pomijać,3.2962964
maska,2.4444444
brak,4.111111
szczyt,1.5185186
niemowlę,1.5925926
wynosić,2.5185184
bieda,4.6296296
harfa,1.1481482
deficyt,3.2592592
sweter,1.2962962
hodowla,1.6296296
opieka,1.6666666
nieskończony,2.148148
ściana,2.1111112
przykładać,1.3703704
makler,2.1111112
rozwód,4.7777777
wskazówka,1.6666666
warga,1.4814814
kapitan,1.5925926
pułapka,4
odległość,2.6666667
zamawiać,1.3333334
witamina,1.1851852
maszkara,2.4074075
narażać,3.925926
kpić,5.148148
wiertło,2.6666667
gramofon,1.2592592
delikatny,1.1111112
wstyd,3.8148148
jąkanie,2.8888888
opalony,1.2592592
oddział,2.074074
jazda,1.3333334
potworny,3.1851852
działacz,2.1111112
powieść,1.5925926
obowiązkowy,2.7407408
lekarz,2.925926
chłopak,1.8148148
bestialski,5.4444447
potwierdzać,1.3333334
